angDist,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,Cohen,IRAS PSC,IRAS FSC,Name,HR #,HD #,SpectralTypes,12[Jy],25[Jy],12[Jy],25[Jy],R.A.,Decl.,CommentOnSIMBAD,R.A.(h),R.A.(m),R.A.(s),Decl.(deg),Decl.(m),Decl.(s),ra,dec
2.709316,J020710.54+232742.8,31.7939534,+23.4619006,0.1071,0.0791,116.1,-0.620,1.645,-0.467,-0.701,-0.196,-0.749,-0.783,,,0.326,0.010,0.218,0.156,0.176,325122701351054606,HHHH,0,nnnn,UUBA,-30,153,-732,132,2.893,HD12929,02043+2313,F02043+2313,ALP ARI,HR 617,HD 12929,K2-IIIab,84.76,20.01,77.8,20.3,02 07 10.4071,+23 27 44.723,Variable star,2,7,10.4071,23,27,44.723,31.79336292,23.46242306
0.259468,J021313.30+441354.0,33.3054324,+44.2316909,0.0295,0.0162,160.8,-1.148,-0.227,1.276,1.181,2.340,1.498,1.329,,,0.023,0.011,0.292,0.206,0.200,332143901351042929,hh00,0,nn20,UUAA,-107,24,312,25,0.304,HD13520,02100+4359,F02100+4359,60 AND,HR 643,HD 13520,K3.5III,13.61,3.585,13.5,3.48,02 13 13.3241,+44 13 53.947,Variable star,2,13,13.3241,44,13,53.947,33.30551708,44.23165194
1.087213,J021303.37+151647.2,33.2640793,+15.2798015,0.0280,0.0202,94.6,-0.426,0.204,1.771,1.648,2.665,1.885,1.605,,,0.015,0.013,0.230,0.160,0.206,328115101351026050,HHHH,0,nnnn,UUAA,68,30,105,28,0.906,HD13596,02103+1502,F02103+1502,19 ARI,HR 648,HD 13596,M0III,9.036,2.072,9.07,2.05,02 13 03.3053,+15 16 47.494,Variable star,2,13,3.3053,15,16,47.494,33.26377208,15.27985944
0.248311,J021757.34+290026.2,34.4889477,+29.0072843,0.0158,0.0111,28.2,0.623,0.806,2.181,2.051,3.435,2.564,2.285,,,0.008,0.015,0.264,0.192,0.226,342128701351044903,hh00,0,nn40,UUAA,529,24,110,26,0.190,HD14146,02150+2846,F02150+2846,,,HD 14146,M0III,5.903,1.473,5.98,1.54,02 17 57.3307,+29 00 26.108,Semi-regular pulsating star,2,17,57.3307,29,0,26.108,34.48887792,29.00725222
0.383504,J022537.46+501643.0,36.4060925,+50.2786143,0.0444,0.0207,165.1,-1.591,-0.842,1.144,0.975,1.941,1.159,1.025,,,0.037,0.013,0.274,0.178,0.198,371149901351038272,HHHH,0,nnnn,UUAA,374,40,869,44,0.388,HD14872,02222+5003,Z02222+5003,65 AND,HR 699,HD 14872,K4.5III,16.03,3.8,16.1,3.92,02 25 37.4227,+50 16 43.072,Star in double system,2,25,37.4227,50,16,43.072,36.40592792,50.27863111
0.905055,J023206.24+360850.3,38.0260124,+36.1473325,0.0231,0.0180,117.4,-0.717,-0.076,1.632,1.494,2.613,1.889,1.630,,,0.015,0.017,0.274,0.234,0.264,373136301351023181,hh00,0,nn40,UUAA,1114,30,374,28,0.981,HD15656,02290+3555,F02290+3555,14 TRI,HR 736,HD 15656,K5III,9.944,2.564,10.4,2.49,02 32 06.1705,+36 08 50.177,Star,2,32,6.1705,36,8,50.177,38.02571042,36.14727139
0.592061,J025130.84+350334.4,42.8785073,+35.0595773,0.0469,0.0380,44.4,-1.830,-1.272,0.679,0.622,1.642,0.800,0.767,,,0.044,0.010,0.272,0.170,0.180,420134801351046931,hh00,0,nn01,UUAA,-248,47,174,41,0.507,HD17709,02484+3451,F02484+3451,17 PER,HR 843,HD 17709,K5.5III,23.24,5.635,22.8,5.45,02 51 30.8375,+35 03 35.068,Variable star,2,51,30.8375,35,3,35.068,42.87848958,35.05974111
0.552111,J025903.69+351059.7,44.7654016,+35.1832661,0.0209,0.0157,108.0,1.171,0.585,2.089,2.020,2.819,2.243,2.103,,,0.011,0.018,0.212,0.198,0.268,438134801351045166,hh00,1,nn30,UUAA,3206,38,1853,37,0.469,HD18449,02559+3459,F02559+3459,24 PER,HR 882,HD 18449,K2III,6.401,1.487,6.59,1.52,02 59 03.6766,+35 10 59.262,Star,2,59,3.6766,35,10,59.262,44.76531917,35.18312833
2.849085,J030929.98+445125.4,47.3749527,+44.8570799,0.0307,0.0248,123.1,-0.901,-0.201,1.611,1.573,1.908,1.435,1.242,,,0.025,0.020,0.274,0.148,0.168,468145401351002192,HHHH,0,nnnn,UUAA,1177,43,-183,37,2.888,HD19476,03061+4440,F03061+4440,KAP PER,HR 941,HD 19476,K0III,9.934,2.338,10.0,2.41,03 09 29.7715,+44 51 27.157,Variable star,3,9,29.7715,44,51,27.157,47.37404792,44.85754361
0.105796,J031117.37+393641.7,47.8223891,+39.6115955,0.0392,0.0342,22.4,0.650,0.325,2.094,2.033,2.954,2.338,2.235,,,0.026,0.019,0.230,0.168,0.256,483139301351037941,hh00,0,nn11,UUAA,478,50,-18,50,0.175,HD19656,03080+3925,F03080+3925,OME PER,HR 947,HD 19656,K1III,6.248,1.472,6.28,1.51,03 11 17.3816,+39 36 41.697,Star in double system,3,11,17.3816,39,36,41.697,47.82242333,39.6115825
2.199214,J031621.64-041612.1,49.0901786,-4.2700461,0.3985,0.3539,150.2,17.205,17.237,12.340,8.810,,,,0.122,0.456,,,,,,486004601351050205,0000,0,nnnn,BCUU,458,1031,883,1086,,HD20356,03138-0554,F03138-0554,,,HD 20356,K5III,5.36,1.343,5.41,1.33,03 16 21.7239,-05 43 49.669,Star,3,16,21.7239,-5,43,49.669,49.09051625,-4.269536389
0.080481,J031843.83+341321.5,49.6826308,+34.2226519,0.0512,0.0411,135.6,-0.993,-0.233,1.545,1.421,2.247,1.620,1.456,,,0.044,0.017,0.198,0.182,0.194,493134801351002264,HHHH,0,nnnn,UUAA,-224,54,205,49,0.147,HD20468,03155+3402,F03155+3402,,HR 991,HD 20468,K2IIb,11.0,2.655,10.7,2.65,03 18 43.8249,+34 13 21.549,Star,3,18,43.8249,34,13,21.549,49.68260375,34.2226525
0.535525,J032020.40+290254.5,50.0850002,+29.0484996,0.0565,0.0488,74.9,-1.670,-1.153,0.791,0.711,1.673,0.821,0.877,,,0.061,0.015,0.266,0.192,0.172,497128701351038947,hh00,0,nn10,UUAA,1996,69,830,56,0.245,HD20644,03173+2852,F03172+2852,,HR 999,HD 20644,K3IIIa,21.39,5.003,21.2,4.96,03 20 20.3608,+29 02 54.450,Star,3,20,20.3608,29,2,54.45,50.08483667,29.04845833
0.261091,J033034.47+475943.0,52.6436390,+47.9952829,0.0236,0.0154,146.4,-1.348,-0.801,1.165,1.067,1.916,1.243,1.054,,,0.018,0.013,0.254,0.162,0.190,517148401351022758,hh00,0,nn30,UUAA,-213,34,-114,34,0.393,HD21552,03270+4749,Z03270+4749,SIG PER,HR 1052,HD 21552,K3III,16.02,3.8,16.1,3.73,03 30 34.4835,+47 59 42.778,Variable star,3,30,34.4835,47,59,42.778,52.64368125,47.99521611
2.390353,J034412.30-631134.2,56.0512586,-63.1928347,0.1696,0.1544,107.2,16.931,16.803,12.876,9.551,,,,0.057,0.156,,,,,,561063701351044841,0000,0,nnnn,ABUU,-31,760,219,701,,HD23817,03435-6457,F03436-6457,BET RET,HR 1175,HD 23817,K2III,13.35,3.172,13.7,3.33,03 44 11.9775,-64 48 24.850,Spectroscopic binary,3,44,11.9775,-64,48,24.85,56.04990625,-63.19309722
0.061494,J040603.19+684047.8,61.5133032,+68.6799669,0.0473,0.0420,172.7,-0.229,0.435,2.122,1.946,3.149,2.388,2.059,,,0.031,0.020,0.270,0.204,0.314,632168101351058668,HH00,0,nn00,UUAA,-420,51,406,53,0.227,HD25274,04009+6832,F04009+6832,,HR 1241,HD 25274,K2III,6.643,1.666,6.63,1.68,04 06 03.1821,+68 40 47.901,Star,4,6,3.1821,68,40,47.901,61.51325875,68.6799725
0.471423,J040310.60+085257.8,60.7941927,+8.8827423,0.0269,0.0174,123.6,1.243,0.675,2.212,2.040,3.404,2.571,2.260,,,0.012,0.015,0.222,0.192,0.286,612109001351011565,hh00,0,nn40,UUAA,1044,46,1307,43,0.646,HD25477,04004+0844,F04004+0844,,,HD 25477,K5III,6.254,1.474,6.26,1.44,04 03 10.5851,+08 52 57.520,Star,4,3,10.5851,8,52,57.52,60.79410458,8.882644444
0.102204,J041059.01+333512.4,62.7458868,+33.5867969,0.0307,0.0223,136.0,1.246,0.850,2.387,2.280,3.294,2.637,2.447,,,0.013,0.020,0.216,0.186,0.254,629133301351038554,hh00,0,nn10,UUAA,-173,43,666,42,0.098,HD26311,04077+3327,F04077+3327,,HR 1286,HD 26311,K1II-III,5.081,1.287,5.0,1.31,04 10 59.0209,+33 35 12.452,Star,4,10,59.0209,33,35,12.452,62.74592042,33.58679222
0.349679,J041258.43+323157.4,63.2434973,+32.5326325,0.0321,0.0169,178.6,1.209,1.007,2.371,2.238,3.459,2.649,6.621,,,0.014,0.019,0.234,0.190,,635131801351055346,0000,0,nn10,UUAA,331,41,-269,44,0.440,HD26526,04097+3224,F04097+3224,,,HD 26526,M0III,5.191,1.283,5.21,1.33,04 12 58.4434,+32 31 57.823,Star,4,12,58.4434,32,31,57.823,63.24351417,32.53272861
0.260240,J042222.74+204917.2,65.5947675,+20.8214615,0.0277,0.0168,78.6,-1.498,-0.667,1.221,1.114,2.454,1.490,1.411,,,0.018,0.015,0.292,0.224,0.222,661121201351011673,hh00,0,nn10,UUAA,883,38,709,35,0.382,HD27639,04194+2042,F04194+2042,,HR 1370,HD 27639,M0IIIab,13.75,3.41,13.7,3.65,04 22 22.7298,+20 49 17.097,Double or multiple star,4,22,22.7298,20,49,17.097,65.5947075,20.82141583
1.193517,J042256.17+173232.8,65.7340649,+17.5424590,0.0216,0.0206,98.2,-0.984,-0.277,1.664,1.554,2.094,1.579,1.643,,,0.019,0.017,0.248,0.198,0.228,650118101351000001,hh00,0,nn30,UUAA,392,38,258,31,1.234,HD27697,04200+1725,F04200+1725,DEL 1 TAU,HR 1373,HD 27697,G9.5III,10.32,2.205,10.1,2.21,04 22 56.0933,+17 32 33.051,binary,4,22,56.0933,17,32,33.051,65.73372208,17.54251417
0.393573,J050020.80+811139.0,75.0866838,+81.1941833,0.0269,0.0226,75.2,0.091,0.447,2.059,1.978,3.092,2.266,2.108,,,0.015,0.015,0.268,0.252,0.268,778181701351007890,hh00,0,nn31,UUAA,490,35,-77,35,0.218,HD30338,04509+8107,F04509+8107,SAO 783,HR 1523,HD 30338,K3III,6.673,1.617,6.49,1.61,05 00 20.7207,+81 11 38.716,Star,5,0,20.7207,81,11,38.716,75.08633625,81.19408778
0.822384,J050219.99+741610.0,75.5833246,+74.2694616,0.0269,0.0198,133.4,1.479,0.801,2.211,2.134,3.379,2.551,2.272,,,0.012,0.015,0.260,0.214,0.348,741174201351027547,hh00,1,nn30,UUAA,3624,37,2,35,0.826,HD31312,04559+7411,F04559+7411,,HR 1572,HD 31312,K5III,5.658,1.373,5.55,1.33,05 02 19.8135,+74 16 09.724,Star,5,2,19.8135,74,16,9.724,75.58255625,74.26936778
0.133010,J045659.61+330957.7,74.2484083,+33.1660534,0.0994,0.0798,128.2,-1.483,-2.666,-0.514,-0.758,-0.031,-0.676,-0.844,,,0.355,0.007,0.188,0.152,0.158,737133301351027230,HHHH,0,nnnn,UUBA,-169,109,862,103,0.264,HD31398,04537+3305,Z04537+3305,IOTA AUR,HR 1577,HD 31398,K3II,87.21,20.31,87.3,20.6,04 56 59.6187,+33 09 57.925,Variable star,4,56,59.6187,33,9,57.925,74.24841125,33.16609028
1.073923,J045622.21+133051.4,74.0925559,+13.5142987,0.0287,0.0251,144.1,-0.831,-0.530,1.355,1.265,1.980,1.424,1.407,,,0.024,0.013,0.288,0.208,0.208,744113601351029401,dh00,0,nn10,UUAA,-764,42,-315,42,1.268,HD31421,04535+1326,F04535+1326,OMI 2 ORI,HR 1580,HD 31421,K2-III,13.34,3.157,13.6,3.09,04 56 22.2744,+13 30 52.077,Star in double system,4,56,22.2744,13,30,52.077,74.09281,13.51446583
0.079440,J045832.90+014250.4,74.6371098,+1.7140038,0.0256,0.0144,92.9,-1.284,-0.696,1.348,1.252,2.158,1.504,1.342,,,0.018,0.015,0.276,0.220,0.284,741101501351044500,hh00,0,nn30,UUAA,520,35,-105,31,0.231,HD31767,04559+0138,F04559+0138,PI 6 ORI,HR 1601,HD 31767,K2-II,12.93,3.103,12.8,3.08,04 58 32.9019,+01 42 50.457,Variable star,4,58,32.9019,1,42,50.457,74.63709125,1.714015833
0.531752,J051141.59+160244.5,77.9233322,+16.0457008,0.0309,0.0165,112.5,-0.845,-0.208,1.491,1.451,2.663,1.982,1.732,,,0.016,0.022,0.284,0.218,0.226,786116601351009556,HHHH,0,nnnn,UUAA,1695,50,778,44,0.461,HD33554,05088+1559,F05088+1559,,HR 1684,HD 33554,K5III,11.18,2.76,10.9,2.71,05 11 41.5635,+16 02 44.423,Star,5,11,41.5635,16,2,44.423,77.92318125,16.04567306
1.542993,J051810.61+332216.3,79.5442133,+33.3712101,0.0316,0.0261,130.8,-1.215,-0.306,1.513,1.421,2.191,1.475,1.386,,,0.023,0.018,0.228,0.160,0.198,791133301351027444,hh00,0,nn00,UUAA,451,51,575,49,1.909,HD34334,05149+3319,Z05149+3319,16 AUR,HR 1726,HD 34334,K2.5III,11.56,2.7,12.3,2.65,05 18 10.5690,+33 22 17.806,Spectroscopic binary,5,18,10.569,33,22,17.806,79.5440375,33.37161278
0.129466,J052459.38+734225.8,81.2474390,+73.7071934,0.0148,0.0105,58.8,-0.208,0.421,1.895,1.809,3.188,2.262,1.881,,,0.008,0.017,0.258,0.190,0.242,794174201351000003,hh00,1,nn30,UUAA,812,29,-241,27,0.305,HD34450,05186+7339,F05186+7339,,,HD 34450,M0.5III,7.42,1.849,7.62,1.8,05 24 59.4159,+73 42 25.912,Star,5,24,59.4159,73,42,25.912,81.24756625,73.70719778
0.208526,J053635.24+542543.2,84.1468379,+54.4286703,0.0257,0.0219,80.9,-0.314,-0.159,1.603,1.493,2.225,1.429,1.184,,,0.019,0.014,0.244,0.190,0.224,842154501351030482,hh00,0,nn30,UUAA,1044,37,820,34,0.140,HD36678,05324+5423,F05324+5423,,HR 1866,HD 36678,M0III,9.57,2.504,10.5,2.52,05 36 35.2177,+54 25 43.171,Variable star,5,36,35.2177,54,25,43.171,84.14674042,54.42865861
3.187568,J053654.46+091723.2,84.2269571,+9.2897905,0.0317,0.0194,156.0,-0.805,-0.263,1.708,1.625,,,,,,0.018,0.016,,,,842109001351041717,hh00,0,nn30,UUAA,618,37,-346,42,,HD37160,05341+0915,F05341+0915,PHI 2 ORI,HR 1907,HD 37160,K0IIIb,9.421,2.02,9.37,2.16,05 36 54.4879,+09 17 26.422,High proper-motion star,5,36,54.4879,9,17,26.422,84.22703292,9.290672778
0.392548,J054228.60+012828.6,85.6191914,+1.4746251,0.0256,0.0226,126.4,0.830,0.270,2.102,2.026,2.918,2.365,2.212,,,0.015,0.018,0.294,0.234,0.264,862101501351031919,hh00,0,nn20,UUAA,885,43,212,42,0.619,HD37984,05398+0127,F05398+0127,51 ORI,HR 1963,HD 37984,K1III,6.61,1.486,6.76,1.6,05 42 28.6321,+01 28 28.664,Star,5,42,28.6321,1,28,28.664,85.61930042,1.474628889
