Cohen,IRAS PSC,IRAS FSC,Name,HR #,HD #,SpectralTypes,12[Jy],25[Jy],12[Jy],25[Jy],R.A.,Decl.,CommentOnSIMBAD,R.A.(h),R.A.(m),R.A.(s),Decl.(deg),Decl.(m),Decl.(s),ra,dec
HD15656,02290+3555,F02290+3555,14 TRI,HR 736,HD 15656,K5III,9.944,2.564,10.4,2.49,02 32 06.1705,+36 08 50.177,Star,2,32,6.1705,36,8,50.177,38.02571042,36.14727139
HD16212,02335-0802,F02335-0802,80 CET,HR 759,HD 16212,M0III,11.74,3.753,14.1,3.78,02 36 00.0483,-07 49 53.750,Star in double system,2,36,0.0483,-7,49,53.75,39.00020125,-6.168402778
HD16815,02386-4004,F02386-4004,IOTA ERI,HR 794,HD 16815,K0.5IIIb,9.556,2.24,9.37,2.28,02 40 40.0344,-39 51 19.352,Star,2,40,40.0344,-39,51,19.352,40.16681,-38.14462444
HD17361,02449+2902,F02449+2902,39 ARI,HR 824,HD 17361,K1.5III,6.57,1.596,6.64,1.62,02 47 54.5407,+29 14 49.625,Star,2,47,54.5407,29,14,49.625,41.97725292,29.24711806
HD17709,02484+3451,F02484+3451,17 PER,HR 843,HD 17709,K5.5III,23.24,5.635,22.8,5.45,02 51 30.8375,+35 03 35.068,Variable star,2,51,30.8375,35,3,35.068,42.87848958,35.05974111
HD18293,02507-7516,F02507-7516,NU HYI,HR 872,HD 18293,K3III,8.252,2.069,8.58,2.16,02 50 28.4600,-75 04 01.010,Star,2,50,28.46,-75,4,1.01,42.61858333,-74.93305278
HD18449,02559+3459,F02559+3459,24 PER,HR 882,HD 18449,K2III,6.401,1.487,6.59,1.52,02 59 03.6766,+35 10 59.262,Star,2,59,3.6766,35,10,59.262,44.76531917,35.18312833
HD19460,03055+1836,F03055+1836,54 ARI,HR 940,HD 19460,M0III,5.552,1.369,5.43,1.36,03 08 21.1090,+18 47 42.190,Star,3,8,21.109,18,47,42.19,47.08795417,18.79505278
HD19476,03061+4440,F03061+4440,KAP PER,HR 941,HD 19476,K0III,9.934,2.338,10,2.41,03 09 29.7715,+44 51 27.157,Variable star,3,9,29.7715,44,51,27.157,47.37404792,44.85754361
HD19656,03080+3925,F03080+3925,OME PER,HR 947,HD 19656,K1III,6.248,1.472,6.28,1.51,03 11 17.3816,+39 36 41.697,Star in double system,3,11,17.3816,39,36,41.697,47.82242333,39.6115825
HD20356,03138-0554,F03138-0554,,,HD 20356,K5III,5.36,1.343,5.41,1.33,03 16 21.7239,-05 43 49.669,Star,3,16,21.7239,-5,43,49.669,49.09051625,-4.269536389
HD20468,03155+3402,F03155+3402,,HR 991,HD 20468,K2IIb,11,2.655,10.7,2.65,03 18 43.8249,+34 13 21.549,Star,3,18,43.8249,34,13,21.549,49.68260375,34.2226525
HD20644,03173+2852,F03172+2852,,HR 999,HD 20644,K3IIIa,21.39,5.003,21.2,4.96,03 20 20.3608,+29 02 54.450,Star,3,20,20.3608,29,2,54.45,50.08483667,29.04845833
HD20893,03198+2033,F03198+2033,TAU 2 ARI,HR 1015,HD 20893,K3III,5.72,1.304,5.58,1.29,03 22 45.2415,+20 44 31.448,Star,3,22,45.2415,20,44,31.448,50.68850625,20.74206889
HD21552,03270+4749,Z03270+4749,SIG PER,HR 1052,HD 21552,K3III,16.02,3.8,16.1,3.73,03 30 34.4835,+47 59 42.778,Variable star,3,30,34.4835,47,59,42.778,52.64368125,47.99521611
HD22663,03352-4026,F03352-4026,SAO 216405,HR 1106,HD 22663,K1III,6.186,1.517,6.53,1.57,03 37 05.6802,-40 16 28.363,Star,3,37,5.6802,-40,16,28.363,54.2736675,-39.72545472
HD23249,03408-0955,F03408-0955,DEL ERI,HR 1136,HD 23249,K0+IV,11.64,2.666,11.7,2.67,03 43 14.9018,-09 45 48.221,Variable of RS CVn type,3,43,14.9018,-9,45,48.221,55.81209083,-8.236605278
HD23319,03409-3728,F03409-3728,SAO 194475,HR 1143,HD 23319,K2.5III,7.687,1.591,7.71,1.64,03 42 50.0555,-37 18 48.666,Star in double system,3,42,50.0555,-37,18,48.666,55.70856458,-36.68648167
HD23817,03435-6457,F03436-6457,BET RET,HR 1175,HD 23817,K2III,13.35,3.172,13.7,3.33,03 44 11.9775,-64 48 24.850,Spectroscopic binary,3,44,11.9775,-64,48,24.85,56.04990625,-63.19309722
HD25025,03557-1339,F03556-1339,GAM ERI,HR 1231,HD 25025,M0.5IIIb,110.8,27.33,110,27,03 58 01.7665,-13 30 30.655,Variable star,3,58,1.7665,-13,30,30.655,59.50736042,-12.49148472
HD25165,03571-1242,F03571-1242,,HR 1235,HD 25165,K5III,6.428,1.528,6.57,1.58,03 59 30.1317,-12 34 27.929,Star,3,59,30.1317,-12,34,27.929,59.87554875,-11.42557528
HD25274,04009+6832,F04009+6832,,HR 1241,HD 25274,K2III,6.643,1.666,6.63,1.68,04 06 03.1821,+68 40 47.901,Star,4,6,3.1821,68,40,47.901,61.51325875,68.6799725
HD25477,04004+0844,F04004+0844,,,HD 25477,K5III,6.254,1.474,6.26,1.44,04 03 10.5851,+08 52 57.520,Star,4,3,10.5851,8,52,57.52,60.79410458,8.882644444
HD26311,04077+3327,F04077+3327,,HR 1286,HD 26311,K1II-III,5.081,1.287,5,1.31,04 10 59.0209,+33 35 12.452,Star,4,10,59.0209,33,35,12.452,62.74592042,33.58679222
HD26526,04097+3224,F04097+3224,,,HD 26526,M0III,5.191,1.283,5.21,1.33,04 12 58.4434,+32 31 57.823,Star,4,12,58.4434,32,31,57.823,63.24351417,32.53272861
HD26846,04120-1022,F04120-1022,39 ERI,HR 1318,HD 26846,K3III,5.586,1.376,5.62,1.39,04 14 23.6887,-10 15 22.619,Star in double system,4,14,23.6887,-10,15,22.619,63.59870292,-9.743716944
HD26967,04123-4225,F04123-4225,ALP HOR,HR 1326,HD 26967,K2III,13.43,3.102,13.5,2.93,04 14 00.1143,-42 17 39.725,High proper-motion star,4,14,0.1143,-42,17,39.725,63.50047625,-41.70563194
HD27442,04156-5925,F04156-5925,EPS RET,HR 1355,HD 27442,K2IVa,6.619,1.484,6.81,1.52,04 16 29.0287,-59 18 07.763,Star in double system,4,16,29.0287,-59,18,7.763,64.12095292,-58.69784361
HD27482,04181+2713,F04181+2713,,,HD 27482,K5III,7.11,1.703,6.43,1.77,04 21 15.2587,+27 21 00.883,Star,4,21,15.2587,27,21,0.883,65.31357792,27.35024528
