Cohen,IRAS PSC,IRAS FSC,Name,HR #,HD #,SpectralTypes,12[Jy],25[Jy],12[Jy],25[Jy],R.A.,Decl.,CommentOnSIMBAD,R.A.(h),R.A.(m),R.A.(s),Decl.(deg),Decl.(m),Decl.(s),ra,dec
HD111335,12455+6703,F12455+6703,7 DRA,HR 4863,HD 111335,K5III,10.28,2.579,10.5,2.69,12 47 34.3438,+66 47 25.095,Star,12,47,34.3438,66,47,25.095,191.8930992,66.79030417
HD111862,12497+1720,F12497+1720,32 COM,HR 4884,HD 111862,M0III,5.273,1.32,5.23,1.38,12 52 12.2573,+17 04 26.196,Star in double system,12,52,12.2573,17,4,26.196,193.0510721,17.07394333
HD111915,12502-4840,F12502-4840,SAO 223731,HR 4888,HD 111915,K3.5III,13.16,3.58,13.8,3.64,12 53 06.9063,-48 56 35.993,Star,12,53,6.9063,-48,56,35.993,193.2787763,-47.05666861
HD112213,12525-4238,F12525-4238,SAO 223760,HR 4906,HD 112213,M0III,14.46,3.76,15.4,3.71,12 55 19.4315,-42 54 56.636,Star,12,55,19.4315,-42,54,56.636,193.8309646,-41.08426778
HD113092,12580+6652,F12580+6651,9 DRA,HR 4928,HD 113092,K2III,5.454,1.301,5.5,1.37,12 59 55.0707,+66 35 50.179,Star,12,59,55.0707,66,35,50.179,194.9794613,66.59727194
HD113996,13047+2753,F13047+2753,41 COM,HR 4954,HD 113996,K5-III,14.21,3.483,14.3,3.45,13 07 10.7297,+27 37 29.067,Star,13,7,10.7297,27,37,29.067,196.7947071,27.62474083
HD114326,13073+1706,F13073+1706,,HR 4962,HD 114326,K5III,4.966,1.249,4.95,1.25,13 09 47.8475,+16 50 55.001,Star,13,9,47.8475,16,50,55.001,197.4493646,16.84861139
HD114780,13100+1149,F13100+1149,,HR 4986,HD 114780,M0III,8.333,2.104,8.13,2.14,13 12 32.9213,+11 33 21.946,Star,13,12,32.9213,11,33,21.946,198.1371721,11.55609611
HD115046,13120+1135,F13120+1135,,HR 4998,HD 115046,M0III,6.879,1.679,7.32,1.84,13 14 31.2837,+11 19 53.963,Star in double system,13,14,31.2837,11,19,53.963,198.6303488,11.33165639
HD115478,13147+1356,F13147+1356,,HR 5013,HD 115478,K3III,5.335,1.421,5.35,1.4,13 17 15.6282,+13 40 32.704,Star,13,17,15.6282,13,40,32.704,199.3151175,13.67575111
HD116870,13240-1226,F13240-1226,68 VIR,HR 5064,HD 116870,M0IIIv,11.02,2.668,11.2,2.58,13 26 43.1677,-12 42 27.591,Variable star,13,26,43.1677,-12,42,27.591,201.6798654,-11.29233583
HD116976,13247-1542,F13247-1542,69 VIR,HR 5068,HD 116976,K0-IIIb,4.921,1.209,4.89,1.27,13 27 27.1640,-15 58 24.882,Variable star,13,27,27.164,-15,58,24.882,201.8631833,-14.02642167
HD119193,13397-5032,F13397-5032,SAO 241098,HR 5152,HD 119193,M0III,6.247,1.55,6.34,1.54,13 42 54.6332,-50 47 24.851,Star,13,42,54.6332,-50,47,24.851,205.7276383,-49.20976361
HD120477,13470+1602,F13470+1602,UPS BOO,HR 5200,HD 120477,K5.5III,33.77,7.657,33.5,7.88,13 49 28.6411,+15 47 52.458,Variable star,13,49,28.6411,15,47,52.458,207.3693379,15.797905
HD120933,13495+3441,F13495+3441,AW CVN,HR 5219,HD 120933,K5III,47.22,11.4,49,11.3,13 51 47.4751,+34 26 39.265,Variable star,13,51,47.4751,34,26,39.265,207.9478129,34.44424028
HD121710,13542+2744,F13543+2743,9 BOO,HR 5247,HD 121710,K3IIIb,10.06,2.509,9.88,2.44,13 56 34.1811,+27 29 31.496,Variable star of irregular type,13,56,34.1811,27,29,31.496,209.1424213,27.49208222
HD123123,14035-2626,F14035-2626,PI HYA,HR 5287,HD 123123,K2-III,23.6,5.481,23.4,5.24,14 06 22.2971,-26 40 56.600,Star,14,6,22.2971,-26,40,56.6,211.5929046,-25.31761111
HD123139,14037-3607,F14037-3607,THE CEN,HR 5288,HD 123139,K0-IIIb,58.62,13.53,56.9,13.5,14 06 40.9485,-36 22 11.836,High proper-motion star,14,6,40.9485,-36,22,11.836,211.6706188,-35.63004556
HD124294,14102-1002,F14102-1002,KAP VIR,HR 5315,HD 124294,K2.5III,18.58,4.075,17.9,4.25,14 12 53.7458,-10 16 25.326,Variable star,14,12,53.7458,-10,16,25.326,213.2239408,-9.726298333
HD124547,14089+7746,F14090+7747,4 UMI,HR 5321,HD 124547,K3-IIIb,10.87,2.681,11,2.67,14 08 50.9269,+77 32 51.051,Spectroscopic binary,14,8,50.9269,77,32,51.051,212.2121954,77.54751417
HD124882,14186-8326,F14185-8326,DEL OCT,HR 5339,HD 124882,K2III,14.37,3.374,14.2,3.38,14 26 55.2341,-83 40 04.384,Variable star,14,26,55.2341,-83,40,4.384,216.7301421,-82.33211556
HD125560,14173+1632,F14173+1632,20 BOO,HR 5370,HD 125560,K3III,6.226,1.582,6.12,1.55,14 19 45.2352,+16 18 25.012,Variable star,14,19,45.2352,16,18,25.012,214.93848,16.30694778
HD125932,14201-2731,F14202-2731,51 HYA,HR 5381,HD 125932,K3III,8.548,2.08,8.39,2.08,14 23 05.7749,-27 45 14.463,Variable star,14,23,5.7749,-27,45,14.463,215.7740621,-26.2459825
HD126927,14260-0640,F14260-0640,106 VIR,HR 5410,HD 126927,K5III,8.123,1.877,8.02,1.86,14 28 41.7225,-06 54 01.931,Star,14,28,41.7225,-6,54,1.931,217.1738438,-5.099463611
HD127093,14265+2604,F14265+2604,,,HD 127093,M0III,10.4,2.656,10.4,2.49,14 28 46.0296,+25 51 13.978,Variable star of irregular type,14,28,46.0296,25,51,13.978,217.19179,25.85388278
HD127665,14296+3035,F14296+3035,RHO BOO,HR 5429,HD 127665,K3-III,25.41,5.982,25.8,6.12,14 31 49.7899,+30 22 17.174,Variable star,14,31,49.7899,30,22,17.174,217.9574579,30.37143722
HD128000,14309+5537,F14309+5537,,HR 5442,HD 128000,K5III,6.83,1.489,6.85,1.59,14 32 30.9356,+55 23 52.835,Star,14,32,30.9356,55,23,52.835,218.1288983,55.39800972
HD128068,14330-4601,F14330-4601,SAO 225054,HR 5444,HD 128068,K3III,6.899,1.614,7.07,1.71,14 36 19.0305,-46 14 43.625,Variable star,14,36,19.0305,-46,14,43.625,219.0792938,-45.75454861
HD128902,14363+4351,F14363+4351,,HR 5464,HD 128902,K2III,6.329,1.518,6.5,1.51,14 38 12.5889,+43 38 31.669,Star,14,38,12.5889,43,38,31.669,219.5524538,43.64213028
HD129078,14415-7850,F14415-7850,ALP APS,HR 5470,HD 129078,K3III,24.94,6.087,24.7,6.12,14 47 51.7087,-79 02 41.103,Star,14,47,51.7087,-79,2,41.103,221.9654529,-78.95524917
HD130157,14443-2106,F14443-2106,,HR 5513,HD 130157,K5III,6.597,1.551,6.29,1.56,14 47 13.6494,-21 19 29.536,Star,14,47,13.6494,-21,19,29.536,221.8068725,-20.67512889
HD130694,14473-2745,F14473-2745,58 HYA,HR 5526,HD 130694,K2.5IIIb,18.38,3.922,17.6,3.93,14 50 17.3099,-27 57 37.335,High proper-motion star,14,50,17.3099,-27,57,37.335,222.5721246,-26.03962917
HD132833,14587-0233,F14587-0233,SAO 140276,HR 5590,HD 132833,M0III,13.86,3.488,13.6,3.6,15 01 19.8267,-02 45 17.735,Variable star,15,1,19.8267,-2,45,17.735,225.3326113,-1.245073611
HD133165,15003+0217,F15003+0217,110 VIR,HR 5601,HD 133165,K0+IIIb,7.291,1.767,7.8,1.83,15 02 54.0373,+02 05 28.690,Variable star,15,2,54.0373,2,5,28.69,225.7251554,2.091302778
HD133550,15030-3604,F15030-3604,SAO 206292,HR 5615,HD 133550,K5-III,6.229,1.686,6.14,1.59,15 06 13.9331,-36 15 52.556,Star,15,6,13.9331,-36,15,52.556,226.5580546,-35.73540111
HD133774,15038-1603,F15038-1603,NU LIB,HR 5622,HD 133774,K5III,12.06,2.819,12.1,2.9,15 06 37.5962,-16 15 24.544,Star,15,6,37.5962,-16,15,24.544,226.6566508,-15.74318222
HD135758,15147-2957,F15147-2957,2 LUP,HR 5686,HD 135758,K0-IIIa,7.5,1.647,7.84,1.68,15 17 49.8390,-30 08 55.224,Variable star,15,17,49.839,-30,8,55.224,229.4576625,-29.85132667
HD136028,15158-0016,F15158-0016,,HR 5690,HD 136028,K5III,5.285,1.309,5.26,1.31,15 18 26.1261,-00 27 40.443,Star,15,18,26.1261,0,27,40.443,229.6088588,0.461234167
HD136422,15186-3604,F15186-3604,PHI 1 LUP,HR 5705,HD 136422,K5III,50.28,11.86,48.7,12.3,15 21 48.3700,-36 15 40.955,Star in double system,15,21,48.37,-36,15,40.955,230.4515417,-35.73862361
HD137744,15254-1632,F15254-1632,ZET 1 LIB,HR 5743,HD 137744,K4.5III,7.447,1.8,7.4,1.91,15 28 15.4082,-16 42 59.343,Star,15,28,15.4082,-16,42,59.343,232.0642008,-15.28351583
HD137759,15238+5908,F15238+5908,IOTA DRA,HR 5744,HD 137759,K2III,23.46,5.752,23.5,5.78,15 24 55.7747,+58 57 57.836,Variable star,15,24,55.7747,58,57,57.836,231.2323946,58.96606556
HD138265,15268+6050,F15268+6050,,HR 5755,HD 138265,K5III,5.214,1.33,5.22,1.31,15 27 51.4231,+60 40 12.780,Star,15,27,51.4231,60,40,12.78,231.9642629,60.67021667
HD138481,15291+4100,F15291+4100,NU 1 BOO,HR 5763,HD 138481,K4.5IIIb,13.94,3.657,14.9,3.87,15 30 55.7593,+40 49 58.968,Star,15,30,55.7593,40,49,58.968,232.7323304,40.83304667
HD138538,15321-6609,Z15321-6609,EPS TRA,HR 5771,HD 138538,K1.5III,11.29,2.657,11.3,2.76,15 36 43.2225,-66 19 01.335,Star in double system,15,36,43.2225,-66,19,1.335,234.1800938,-65.6829625
HD139063,15339-2758,F15339-2758,UPS LIB,HR 5794,HD 139063,K3.5III,30.69,7.519,30.1,7.62,15 37 01.4498,-28 08 06.286,Double or multiple star,15,37,1.4498,-28,8,6.286,234.2560408,-27.86492056
HD139127,15346-4224,F15346-4224,OME LUP,HR 5797,HD 139127,K4.5III,17.65,4.185,17.8,4.15,15 38 03.2054,-42 34 02.453,Star in double system,15,38,3.2054,-42,34,2.453,234.5133558,-41.43265194
HD139663,15373-2339,F15373-2339,42 LIB,HR 5824,HD 139663,K3-III,6.508,1.518,7.21,1.66,15 40 16.8954,-23 49 05.082,Star,15,40,16.8954,-23,49,5.082,235.0703975,-22.18192167
HD139669,15328+7731,F15328+7730,THE UMI,HR 5826,HD 139669,K5-III,13.34,3.335,13.4,3.44,15 31 24.9293,+77 20 57.667,Variable star,15,31,24.9293,77,20,57.667,232.8538721,77.34935194
HD140573,15418+0634,F15417+0634,ALP SER,HR 5854,HD 140573,K2IIIb,40.92,10.04,40.8,9.86,15 44 16.0749,+06 25 32.257,Star in double system,15,44,16.0749,6,25,32.257,236.0669788,6.425626944
HD141477,15464+1817,F15464+1817,KAP SER,HR 5879,HD 141477,M0.5IIIab,44.45,10.85,44.3,11.6,15 48 44.3768,+18 08 29.629,Variable star,15,48,44.3768,18,8,29.629,237.1849033,18.14156361
HD141992,15490+2107,F15490+2107,RHO SER,HR 5899,HD 141992,K4.5III,17.53,4.239,18.1,4.27,15 51 15.9090,+20 58 40.509,Variable star,15,51,15.909,20,58,40.509,237.8162875,20.97791917
HD142574,15523+2027,F15523+2027,IRC+20288,HR 5924,HD 142574,K8IIIb,11.47,2.842,11.4,2.83,15 54 34.6117,+20 17 39.486,Variable star,15,54,34.6117,20,17,39.486,238.6442154,20.29430167
HD142676,15552-6442,Z15552-6442,SAO 253368,,HD 142676,M0-1II,4.709,1.211,4.55,1.27,15 59 50.0294,-64 51 14.934,Star,15,59,50.0294,-64,51,14.934,239.9584558,-63.14585167
HD143107,15555+2701,F15555+2701,EPS CRB,HR 5947,HD 143107,K2IIIab,12.14,3.194,13.1,3.38,15 57 35.2518,+26 52 40.368,Double or multiple star,15,57,35.2518,26,52,40.368,239.3968825,26.87788
HD143435,15571+3647,F15571+3647,,HR 5957,HD 143435,K5III,7.455,1.765,7.45,1.73,15 58 57.7137,+36 38 37.585,Star,15,58,57.7137,36,38,37.585,239.7404738,36.64377361
HD144204,16008+5303,F16008+5303,,HR 5981,HD 144204,K5III,5.285,1.328,5.31,1.34,16 02 05.5584,+52 54 57.302,Star,16,2,5.5584,52,54,57.302,240.52316,52.91591722
HD145892,16107+0508,F16107+0508,9 HER,HR 6047,HD 145892,K5III,6.806,1.621,7.14,1.59,16 13 15.4295,+05 01 15.911,Star,16,13,15.4295,5,1,15.911,243.3142896,5.021086389
HD145897,16110-1142,F16110-1142,CHI SCO,HR 6048,HD 145897,K3III,7.289,1.609,7.56,1.72,16 13 50.9049,-11 50 15.888,Star,16,13,50.9049,-11,50,15.888,243.4621038,-10.16225333
HD146051,16117-0334,F16117-0334,DEL OPH,HR 6056,HD 146051,M0.5III,153.9,37.09,150,37.5,16 14 20.7395,-03 41 39.563,Variable star,16,14,20.7395,-3,41,39.563,243.5864146,-2.305676944
HD146791,16156-0434,F16156-0434,EPS OPH,HR 6075,HD 146791,G9.5IIIb,19.1,3.812,19.4,3.96,16 18 19.2890,-04 41 33.038,Star in double system,16,18,19.289,-4,41,33.038,244.5803708,-3.307489444
HD149009,16290+2218,F16290+2218,,HR 6154,HD 149009,K5III,7.929,2.091,8.22,2.08,16 31 13.4313,+22 11 43.648,Star,16,31,13.4313,22,11,43.648,247.8059638,22.19545778
HD149447,16330-3509,Z16330-3509,AFGL 4228,HR 6166,HD 149447,K6III,33.64,8.204,33.6,8.28,16 36 22.4715,-35 15 19.174,Star,16,36,22.4715,-35,15,19.174,249.0936313,-34.74467389
HD150798,16433-6856,F16433-6856,ALP TRA,HR 6217,HD 150798,K2II,148.7,33.64,144,34.1,16 48 39.8949,-69 01 39.774,Star,16,48,39.8949,-69,1,39.774,252.1662288,-68.972285
HD151217,16434+0840,F16434+0840,43 HER,HR 6228,HD 151217,K5III,12.19,2.894,12,2.83,16 45 49.8913,+08 34 57.418,Variable star,16,45,49.8913,8,34,57.418,251.4578804,8.582616111
HD151249,16454-5857,Z16454-5857,ETA ARA,HR 6229,HD 151249,K5III,50.07,11.57,52.2,11.8,16 49 47.1563,-59 02 28.961,Star in double system,16,49,47.1563,-59,2,28.961,252.4464846,-58.95862194
HD151680,16469-3412,Z16468-3412,EPS SCO,HR 6241,HD 151680,K2.5III,53.64,13.56,52.3,13.5,16 50 09.8130,-34 17 35.634,Variable star,16,50,9.813,-34,17,35.634,252.5408875,-33.70676833
HD152326,16496+2444,F16496+2444,51 HER,HR 6270,HD 152326,K0.5IIIa,5.345,1.279,5.24,1.3,16 51 45.2619,+24 39 23.158,Star,16,51,45.2619,24,39,23.158,252.9385913,24.65643278
HD152880,16538-1551,F16538-1552,,,HD 152880,M0-1III,6.753,1.606,6.59,1.62,16 56 40.786,-15 56 37.65,Star,16,56,40.786,-15,56,37.65,254.1699417,-14.05620833
HD153210,16552+0927,F16552+0927,KAP OPH,HR 6299,HD 153210,K2III,24.91,5.762,25,5.72,16 57 40.0973,+09 22 30.118,Variable star,16,57,40.0973,9,22,30.118,254.4170721,9.375032778
HD155410,17079+4050,F17079+4050,,HR 6388,HD 155410,K3III,6.249,1.435,6.57,1.54,17 09 33.2478,+40 46 37.319,Star,17,9,33.2478,40,46,37.319,257.3885325,40.77703306
HD156277,17167-6743,F17168-6743,ZET APS,HR 6417,HD 156277,K2-III,7.744,1.841,7.42,1.74,17 21 59.4776,-67 46 14.407,Star,17,21,59.4776,-67,46,14.407,260.4978233,-66.22933139
HD156283,17133+3651,F17133+3651,PI HER,HR 6418,HD 156283,K3II,47.55,11,48.2,11.4,17 15 02.8343,+36 48 32.983,Variable star,17,15,2.8343,36,48,32.983,258.7618096,36.80916194
HD156652,17156+2857,F17156+2857,,,HD 156652,M0III+,5.57,1.429,5.63,1.44,17 17 34.6520,+28 54 47.783,Variable star of irregular type,17,17,34.652,28,54,47.783,259.3943833,28.91327306
HD157325,17189+4617,F17189+4617,74 HER,HR 6464,HD 157325,M0III,10.07,2.515,9.83,2.52,17 20 21.1218,+46 14 26.808,Variable star,17,20,21.1218,46,14,26.808,260.0880075,46.24078
HD157999,17240+0410,F17240+0410,SIG OPH,HR 6498,HD 157999,K2II,18.64,4.869,18.7,4.71,17 26 30.8803,+04 08 25.295,Variable star,17,26,30.8803,4,8,25.295,261.6286679,4.140359722
HD158899,17287+2608,F17287+2608,LAM HER,HR 6526,HD 158899,K3.5III,15.49,3.695,15.9,3.7,17 30 44.3099,+26 06 38.323,Variable star,17,30,44.3099,26,6,38.323,262.6846246,26.11064528
HD158996,17233+8010,F17234+8010,,HR 6529,HD 158996,K5III,5.449,1.298,5.64,1.4,17 19 37.1101,+80 08 11.038,Star,17,19,37.1101,80,8,11.038,259.9046254,80.13639944
HD161096,17409+0435,F17410+0435,BET OPH,HR 6603,HD 161096,K2III,37.97,8.756,38.6,8.53,17 43 28.3531,+04 34 02.290,Variable star,17,43,28.3531,4,34,2.29,265.8681379,4.567302778
HD163376,17542-4142,Z17542-4142,SAO 228578,HR 6682,HD 163376,M0III,24.74,5.837,24.4,5.93,17 57 47.8052,-41 42 58.663,Star,17,57,47.8052,-41,42,58.663,269.4491883,-40.28370472
HD163588,17526+5652,F17526+5652,XI DRA,HR 6688,HD 163588,K2III,16.72,4.075,16.9,4.14,17 53 31.7295,+56 52 21.514,Star in double system,17,53,31.7295,56,52,21.514,268.3822063,56.87264278
HD163770,17545+3715,F17545+3715,THE HER,HR 6695,HD 163770,K1IIa,17.64,4.26,18.4,4.2,17 56 15.1805,+37 15 01.941,Variable star,17,56,15.1805,37,15,1.941,269.0632521,37.25053917
HD164646,17585+4530,F17585+4530,,HR 6728,HD 164646,M0IIIab,8.356,2.16,8.45,2.2,17 59 56.2064,+45 30 04.960,Variable star,17,59,56.2064,45,30,4.96,269.9841933,45.50137778
HD168323,18160+2316,F18160+2316,,HR 6854,HD 168323,K5III,7.314,1.842,7.19,1.86,18 18 07.7296,+23 17 48.864,Star in double system,18,18,7.7296,23,17,48.864,274.5322067,23.29690667
HD168592,18188-3840,F18188-3840,SAO 210048,HR 6862,HD 168592,K4-5III,10.77,2.613,10.7,2.61,18 22 18.5725,-38 39 24.817,Star,18,22,18.5725,-38,39,24.817,275.5773854,-37.34310639
HD168723,18186-0255,Z18186-0255,ETA SER,HR 6869,HD 168723,K0III-IV,17.7,4.161,17.3,4.05,18 21 18.6007,-02 53 55.770,Variable star,18,21,18.6007,-2,53,55.77,275.3275029,-1.101175
HD168775,18181+3602,F18180+3602,KAP LYR,HR 6872,HD 168775,K2-IIIab,9.029,2.13,9.06,2.13,18 19 51.7095,+36 03 52.371,Variable star,18,19,51.7095,36,3,52.371,274.9654563,36.0645475
HD169414,18215+2144,F18215+2144,109 HER,HR 6895,HD 169414,K2IIIab,15.1,3.803,16.9,3.76,18 23 41.8896,+21 46 11.107,Variable star,18,23,41.8896,21,46,11.107,275.92454,21.76975194
HD169916,18248-2527,Z18248-2527,LAM SGR,HR 6913,HD 169916,K1IIIb,32.14,7.373,31.2,7.27,18 27 58.2405,-25 25 18.120,Star,18,27,58.2405,-25,25,18.12,276.9926688,-24.5783
HD170693,18258+6531,F18258+6531,42 DRA,HR 6945,HD 170693,K1.5III,7.19,1.695,7.47,1.46,18 25 59.1381,+65 33 48.530,Star,18,25,59.1381,65,33,48.53,276.4964088,65.56348056
HD170951,18291+2507,F18291+2507,,,HD 170951,M0III,4.752,1.227,4.84,1.27,18 31 09.6605,+25 09 47.775,Star,18,31,9.6605,25,9,47.775,277.7902521,25.16327083
HD171759,18372-7128,F18371-7128,ZET PAV,HR 6982,HD 171759,K0III,13.12,3.255,13.5,3.23,18 43 02.1361,-71 25 41.208,Star in double system,18,43,2.1361,-71,25,41.208,280.7589004,-70.57188667
HD173780,18440+2636,F18440+2636,IRC+30342,HR 7064,HD 173780,K2III,6.5,1.53,6.35,1.56,18 46 04.4803,+26 39 43.667,Star,18,46,4.4803,26,39,43.667,281.5186679,26.66212972
HD174387,18487-4639,F18487-4639,SAO 229336,HR 7092,HD 174387,M0III,11.58,2.953,12.1,3.02,18 52 27.2306,-46 35 42.429,Star,18,52,27.2306,-46,35,42.429,283.1134608,-45.40488083
HD175775,18547-2110,Z18547-2110,XI 2 SGR,HR 7150,HD 175775,K1III,20.2,4.936,19.7,4.68,18 57 43.8015,-21 06 23.955,Star,18,57,43.8015,-21,6,23.955,284.4325063,-20.89334583
HD176524,18550+7113,F18550+7113,UPS DRA,HR 7180,HD 176524,K0III,5.336,1.286,5.49,1.4,18 54 23.8547,+71 17 49.891,Star,18,54,23.8547,71,17,49.891,283.5993946,71.29719194
HD176670,18581+3204,F18581+3204,LAM LYR,HR 7192,HD 176670,K2.5III,9.589,2.294,9.94,2.28,19 00 00.8257,+32 08 43.851,Variable star,19,0,0.8257,32,8,43.851,285.0034404,32.14551417
HD177716,19038-2744,F19037-2744,TAU SGR,HR 7234,HD 177716,K1.5IIIb,26.75,6.002,26,6.02,19 06 56.4089,-27 40 13.523,High proper-motion star,19,6,56.4089,-27,40,13.523,286.7350371,-26.32957694
HD177808,19030+3140,F19030+3140,,HR 7237,HD 177808,M0III,7.997,2.037,7.92,2.04,19 04 57.8751,+31 44 38.658,Star,19,4,57.8751,31,44,38.658,286.2411463,31.74407167
HD178345,19065-3925,F19065-3925,BET CRA,HR 7259,HD 178345,K0II,12.35,2.86,12.5,2.81,19 10 01.7569,-39 20 26.866,Star,19,10,1.7569,-39,20,26.866,287.5073204,-38.65920389
HD179886,19127-4533,F19127-4533,SAO 229584,HR 7289,HD 179886,K3III,5.952,1.426,6.13,1.49,19 16 21.7423,-45 27 57.720,Star,19,16,21.7423,-45,27,57.72,289.0905929,-44.53396667
HD180450,19134+3026,Z19134+3026,IRC+30364,HR 7302,HD 180450,M0III,12,3.054,11.8,3.01,19 15 24.8598,+30 31 34.973,Star in cluster,19,15,24.8598,30,31,34.973,288.8535825,30.52638139
HD181109,19172-3154,F19172-3154,,HR 7323,HD 181109,M0III,5.582,1.321,5.68,1.37,19 20 26.1919,-31 49 03.359,Star,19,20,26.1919,-31,49,3.359,290.1091329,-30.18240028
HD182709,19259-6832,F19259-6832,SAO 254590,HR 7383,HD 182709,K4-5III,7.809,2.021,7.72,2,19 31 10.9703,-68 26 02.111,Star,19,31,10.9703,-68,26,2.111,292.7957096,-67.56608028
HD183439,19266+2433,Z19266+2433,ALP VUL,HR 7405,HD 183439,M0.5IIIb,29.67,6.9,28.9,7,19 28 42.3299,+24 39 53.657,Star in double system,19,28,42.3299,24,39,53.657,292.1763746,24.66490472
HD184406,19316+0716,Z19316+0716,MUU AQL,HR 7429,HD 184406,K3-IIIb,8.653,2.084,8.6,2.05,19 34 05.3529,+07 22 44.189,Variable star,19,34,5.3529,7,22,44.189,293.5223038,7.378941389
HD184827,19330+3341,Z19330+3341,,,HD 184827,M0III,12.01,2.946,11.6,3.01,19 34 56.1074,+33 47 43.756,Pulsating variable star,19,34,56.1074,33,47,43.756,293.7337808,33.79548778
HD184996,19367-6558,F19367-6558,SAO 254627,HR 7455,HD 184996,M0III,5.699,1.458,5.71,1.45,19 41 37.2654,-65 51 15.890,Star,19,41,37.2654,-65,51,15.89,295.4052725,-64.14558611
HD186619,19420+4139,Z19420+4139,,HR 7514,HD 186619,M0IIIab,7.519,1.938,7.45,1.99,19 43 45.0968,+41 46 23.190,Variable star,19,43,45.0968,41,46,23.19,295.9379033,41.77310833
HD186791,19438+1029,Z19438+1029,GAM AQL,HR 7525,HD 186791,K3II,79.86,19.62,76.6,20,19 46 15.5795,+10 36 47.740,Star in double system,19,46,15.5795,10,36,47.74,296.5649146,10.61326111
HD187150,19460-1226,F19460-1226,,,HD 187150,K5III,5.688,1.472,5.82,1.5,19 48 50.1723,-12 19 09.915,Star,19,48,50.1723,-12,19,9.915,297.2090513,-11.68057917
HD187660,19485-0235,F19485-0235,,HR 7559,HD 187660,K5III,4.526,1.262,4.98,1.28,19 51 11.0977,-02 27 39.563,Star,19,51,11.0977,-2,27,39.563,297.7962404,-1.539010278
HD188056,19493+5251,F19493+5251,20 CYG,HR 7576,HD 188056,K3III,5.845,1.453,5.77,1.49,19 50 37.7238,+52 59 16.805,Star,19,50,37.7238,52,59,16.805,297.6571825,52.98800139
HD188114,19518-4200,F19518-4200,IOTA SGR,HR 7581,HD 188114,K0II-III,11.07,2.712,11.1,2.96,19 55 15.6974,-41 52 05.837,Star,19,55,15.6974,-41,52,5.837,298.8154058,-40.13171194
HD188154,19514-0842,F19514-0842,56 AQL,HR 7584,HD 188154,K5III,9.112,2.253,9.19,2.31,19 54 08.2772,-08 34 27.160,Star in double system,19,54,8.2772,-8,34,27.16,298.5344883,-7.425788889
HD188310,19518+0819,Z19518+0819,XI AQL,HR 7595,HD 188310,G9.5IIIb,5.512,1.237,5.54,1.27,19 54 14.8816,+08 27 41.230,Star,19,54,14.8816,8,27,41.23,298.5620067,8.461452778
HD188603,19538-2718,F19538-2718,59 SGR,HR 7604,HD 188603,K2.5IIb,16.04,3.399,16.6,3.47,19 56 56.8312,-27 10 11.636,Star,19,56,56.8312,-27,10,11.636,299.2367967,-26.83010111
HD189140,19569-4310,F19570-4310,SAO 229977,HR 7627,HD 189140,M0II-III,8.075,1.916,8.21,1.95,20 00 26.4855,-43 02 35.886,Star,20,0,26.4855,-43,2,35.886,300.1103563,-42.95669833
HD189276,19549+5842,F19549+5842,,HR 7633,HD 189276,K4.5IIIa,13.49,3.449,13.7,3.49,19 55 55.3781,+58 50 45.489,Star,19,55,55.3781,58,50,45.489,298.9807421,58.84596917
HD189319,19565+1921,Z19565+1921,GAM SGE,HR 7635,HD 189319,M0-III,60.29,14.11,58.9,14,19 58 45.4275,+19 29 31.732,Variable star,19,58,45.4275,19,29,31.732,299.6892813,19.49214778
HD189695,19585+0825,F19585+0825,,HR 7648,HD 189695,K5III,5.765,1.478,5.79,1.53,20 00 58.9777,+08 33 27.846,Star,20,0,58.9777,8,33,27.846,300.2457404,8.557735
HD189831,20002-3804,F20002-3804,SAO 211767,HR 7652,HD 189831,K5III,11.28,2.738,11.1,2.75,20 03 33.4593,-37 56 26.515,Star,20,3,33.4593,-37,56,26.515,300.8894138,-36.05930139
HD190056,20011-3211,F20011-3211,,HR 7659,HD 190056,K1III,7.078,1.59,6.92,1.49,20 04 19.5926,-32 03 22.664,Variable star,20,4,19.5926,-32,3,22.664,301.0816358,-31.94370444
HD192107,20106-0109,F20106-0109,66 AQL,HR 7720,HD 192107,K5III,8.569,2.212,8.57,2.2,20 13 13.8819,-01 00 33.621,Star,20,13,13.8819,-1,0,33.621,303.3078413,-0.990660833
HD192781,20125+6029,F20125+6029,,HR 7742,HD 192781,K5III,5.219,1.262,5.41,1.3,20 13 27.6157,+60 38 26.048,Star,20,13,27.6157,60,38,26.048,303.3650654,60.64056889
HD193002,20166-5512,F20166-5512,SAO 246535,HR 7758,HD 193002,M0-1III,5.985,1.452,6,1.48,20 20 32.3162,-55 03 03.176,Star,20,20,32.3162,-55,3,3.176,305.1346508,-54.94911778
HD193579,20180+1738,F20180+1738,,HR 7780,HD 193579,K5III,5.85,1.44,6.09,1.39,20 20 21.4066,+17 47 34.539,Star,20,20,21.4066,17,47,34.539,305.0891942,17.7929275
HD196171,20340-4728,F20340-4727,ALP IND,HR 7869,HD 196171,K0III,21.66,4.719,21.6,4.72,20 37 34.0320,-47 17 29.406,Star in double system,20,37,34.032,-47,17,29.406,309.3918,-46.70849833
HD196321,20341-0243,F20341-0243,70 AQL,HR 7873,HD 196321,K5II,16.06,4.05,16.5,4.01,20 36 43.6323,-02 32 59.846,Star,20,36,43.6323,-2,32,59.846,309.1818013,-1.450042778
