angDist,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,angDist,_RAJ2000,_DEJ2000,objName,S09,e_S09,q_S09,S18,e_S18,q_S18,Nd09,Nd18,X09,X18,RAJ2000,DEJ2000,Cohen,IRAS PSC,IRAS FSC,Name,HR #,HD #,SpectralTypes,12[Jy],25[Jy],12[Jy],25[Jy],R.A.,Decl.,CommentOnSIMBAD,R.A.(h),R.A.(m),R.A.(s),Decl.(deg),Decl.(m),Decl.(s),ra,dec
0.236203,J055226.44+015118.4,88.1102045,+1.8551276,0.0202,0.0143,7.7,-0.760,-0.078,1.685,1.573,2.575,1.971,1.796,,,0.017,0.016,0.296,0.248,0.278,877101501351037826,HHHH,0,nnnn,UUAA,825,33,151,28,0.064,0.078111,88.11014,1.85514,0552264+015118,12.95,0.0486,3,2.907,0.0329,3,0,0,0,0,88.11014,1.85514,HD39400,05498+0150,F05498+0150,56 ORI,HR 2037,HD 39400,K1.5IIb,10.81,2.343,10.7,2.47,05 52 26.4386,+01 51 18.482,Variable star,5,52,26.4386,1,51,18.482,88.11016083,1.855133889
0.232571,J080011.68+735504.0,120.0486683,+73.9178049,0.0246,0.0160,16.7,-0.260,0.338,2.106,1.961,3.003,2.279,2.085,,,0.013,0.014,0.286,0.234,0.260,1217174201351013196,hh00,0,nnn0,UUAA,606,32,86,35,0.495,0.244326,120.04879,73.91786,0800117+735504,8.767,0.0329,3,1.986,0.0291,3,0,0,0,0,120.04879,73.91786,HD64307,07542+7403,F07543+7403,,HR 3075,HD 64307,K3III,6.442,1.592,6.33,1.63,08 00 11.7384,+73 55 04.509,Star,8,0,11.7384,73,55,4.509,120.04891,73.91791917
0.290711,J041258.43+323157.4,63.2434973,+32.5326325,0.0321,0.0169,178.6,1.209,1.007,2.371,2.238,3.459,2.649,6.621,,,0.014,0.019,0.234,0.190,,635131801351055346,0000,0,nn10,UUAA,331,41,-269,44,0.440,0.56119,63.24357,32.53258,0412584+323157,6.778,0.0634,3,1.604,0.0596,3,0,0,0,0,63.24357,32.53258,HD26526,04097+3224,F04097+3224,,,HD 26526,M0III,5.191,1.283,5.21,1.33,04 12 58.4434,+32 31 57.823,Star,4,12,58.4434,32,31,57.823,63.24351417,32.53272861
0.770265,J071139.37+391914.0,107.9140469,+39.3205677,0.0287,0.0175,3.6,-1.091,-0.268,1.536,1.380,2.559,1.833,1.605,,,0.024,0.016,0.232,0.182,0.258,1083139301351033397,HHHH,0,nnnn,UUAA,458,34,188,32,0.590,0.500069,107.91386,39.32041,0711393+391913,15.46,0.161,3,3.438,0.0379,3,0,0,0,0,107.91386,39.32041,HD54716,07082+3924,F07082+3924,63 AUR,HR 2696,HD 54716,K3.5III,11.19,2.717,11.2,2.7,07 11 39.3257,+39 19 13.976,Star,7,11,39.3257,39,19,13.976,107.9138571,39.32054889
0.189414,J114602.88+474646.3,176.5120285,+47.7795350,0.0657,0.0376,50.2,-1.722,-0.444,0.988,0.821,1.679,1.025,0.988,,,0.067,0.019,0.262,0.162,0.190,1754148401351000001,HHHH,0,nnnn,UUAA,876,43,901,41,1.619,1.541023,176.51197,47.77957,1146028+474646,27.17,0.132,3,5.826,0.0755,3,0,0,0,0,176.51197,47.77957,HD102224,11434+4803,F11434+4803,CHI UMA,HR 4518,HD 102224,K2III,18.81,4.615,19.3,4.72,11 46 03.0140,+47 46 45.861,Variable star,11,46,3.014,47,46,45.861,176.5125583,47.77940583
0.616469,J082627.69+275335.9,126.6154050,+27.8933239,0.0264,0.0235,177.3,1.131,0.871,2.319,2.218,3.209,2.519,2.388,,,0.014,0.018,0.260,0.218,0.254,1267127201351058344,hh00,0,nn41,UUAA,1185,42,812,39,1.054,1.533915,126.61532,27.89317,0826276+275335,7.079,0.0526,3,1.603,0.0855,3,0,0,0,0,126.61532,27.89317,HD71093,08234+2803,F08233+2803,PHI 1 CNC,HR 3304,HD 71093,K5III,5.207,1.368,5.22,1.31,08 26 27.7052,+27 53 36.899,Star in double system,8,26,27.7052,27,53,36.899,126.6154383,27.89358306
0.023872,J052459.38+734225.8,81.2474390,+73.7071934,0.0148,0.0105,58.8,-0.208,0.421,1.895,1.809,3.188,2.262,1.881,,,0.008,0.017,0.258,0.190,0.242,794174201351000003,hh00,1,nn30,UUAA,812,29,-241,27,0.305,0.127758,81.24744,73.7072,0524593+734225,9.735,0.0033,3,2.29,0.0222,3,0,0,0,0,81.24744,73.7072,HD34450,05186+7339,F05186+7339,,,HD 34450,M0.5III,7.42,1.849,7.62,1.8,05 24 59.4159,+73 42 25.912,Star,5,24,59.4159,73,42,25.912,81.24756625,73.70719778
0.027641,J091513.82+145629.3,138.8076248,+14.9414761,0.0334,0.0280,144.8,0.251,0.821,2.327,2.185,2.886,2.212,2.058,,,0.021,0.016,0.236,0.186,0.228,1393115101351010798,hh00,0,nn10,UUAA,346,46,456,42,0.328,0.372037,138.80762,14.94147,0915138+145629,7.432,0.0388,3,1.635,0.0294,3,0,0,0,0,138.80762,14.94147,HD79554,09124+1509,F09124+1509,PI 2 CNC,HR 3669,HD 79554,K1III,5.509,1.229,5.49,1.27,09 15 13.8528,+14 56 29.424,Star,9,15,13.8528,14,56,29.424,138.80772,14.94150667
0.940991,J010256.54+075324.5,15.7355870,+7.8901543,0.0206,0.0159,131.3,0.467,0.316,2.043,1.910,2.676,2.235,2.121,,,0.012,0.015,0.290,0.262,0.270,152107501351044833,0h00,0,nn30,UUAA,-1103,42,-739,43,1.224,0.54545,15.7358,7.89,0102565+075324,9.748,0.049,3,2.144,0.0224,3,0,0,0,0,15.7358,7.89,HD6186,01003+0737,F01003+0737,EPS PSC,HR 294,HD 6186,K0III,7.131,1.833,7.14,1.84,01 02 56.6084,+07 53 24.488,Star,1,2,56.6084,7,53,24.488,15.73586833,7.890135556
0.139697,J010309.89+530825.5,15.7912453,+53.1404388,0.0283,0.0180,95.1,-0.559,0.409,1.732,1.549,3.177,2.241,1.820,,,0.017,0.014,0.256,0.178,0.234,147153001351024564,hh00,0,nn40,UUAA,-300,30,-318,27,0.118,0.307027,15.79131,53.14044,0103099+530825,12.15,0.0573,3,2.858,0.0572,3,0,0,0,0,15.79131,53.14044,HD6112,01002+5252,Z01001+5252,,,HD 6112,M0III,8.849,2.415,8.98,2.41,01 03 09.8811,+53 08 25.517,Variable Star,1,3,9.8811,53,8,25.517,15.79117125,53.14042139
