angDist,_RAJ2000,_DEJ2000,objName,S09,e_S09,q_S09,S18,e_S18,q_S18,Nd09,Nd18,X09,X18,RAJ2000,DEJ2000,Cohen,IRAS PSC,IRAS FSC,Name,HR #,HD #,SpectralTypes,12[Jy],25[Jy],12[Jy],25[Jy],R.A.,Decl.,CommentOnSIMBAD,R.A.(h),R.A.(m),R.A.(s),Decl.(deg),Decl.(m),Decl.(s),ra,dec
0.613229,209.14257,27.49219,1356342+272931,13.42,0.00487,3,3.031,0.0217,3,0,0,0,0,209.14257,27.49219,HD121710,13542+2744,F13543+2743,9 BOO,HR 5247,HD 121710,K3IIIb,10.06,2.509,9.88,2.44,13 56 34.1811,+27 29 31.496,Variable star of irregular type,13,56,34.1811,27,29,31.496,209.1424213,27.49208222
1.138027,217.95721,30.37167,1431497+302218,35.49,0.125,3,7.515,0.0506,3,0,0,0,0,217.95721,30.37167,HD127665,14296+3035,F14296+3035,RHO BOO,HR 5429,HD 127665,K3-III,25.41,5.982,25.8,6.12,14 31 49.7899,+30 22 17.174,Variable star,14,31,49.7899,30,22,17.174,217.9574579,30.37143722
0.526748,239.39672,26.87786,1557352+265240,18.48,0.0424,3,3.992,0.0286,3,0,0,0,0,239.39672,26.87786,HD143107,15555+2701,F15555+2701,EPS CRB,HR 5947,HD 143107,K2IIIab,12.14,3.194,13.1,3.38,15 57 35.2518,+26 52 40.368,Double or multiple star,15,57,35.2518,26,52,40.368,239.3968825,26.87788
0.082035,218.12888,55.39803,1432309+552352,8.67,0.0484,3,2.034,0.043,3,0,0,0,0,218.12888,55.39803,HD128000,14309+5537,F14309+5537,,HR 5442,HD 128000,K5III,6.83,1.489,6.85,1.59,14 32 30.9356,+55 23 52.835,Star,14,32,30.9356,55,23,52.835,218.1288983,55.39800972
0.128994,285.00344,32.14555,1900008+320843,12.67,0.0518,3,2.87,0.0196,3,0,0,0,0,285.00344,32.14555,HD176670,18581+3204,F18581+3204,LAM LYR,HR 7192,HD 176670,K2.5III,9.589,2.294,9.94,2.28,19 00 00.8257,+32 08 43.851,Variable star,19,0,0.8257,32,8,43.851,285.0034404,32.14551417
0.505445,239.74055,36.6439,1558577+363838,9.928,0.0231,3,2.28,0.0238,3,0,0,0,0,239.74055,36.6439,HD143435,15571+3647,F15571+3647,,HR 5957,HD 143435,K5III,7.455,1.765,7.45,1.73,15 58 57.7137,+36 38 37.585,Star,15,58,57.7137,36,38,37.585,239.7404738,36.64377361
0.148373,257.3885,40.777,1709332+404637,8.475,0.0428,3,1.924,0.0139,3,0,0,0,0,257.3885,40.777,HD155410,17079+4050,F17079+4050,,HR 6388,HD 155410,K3III,6.249,1.435,6.57,1.54,17 09 33.2478,+40 46 37.319,Star,17,9,33.2478,40,46,37.319,257.3885325,40.77703306
0.220768,251.45791,8.58267,1645498+083457,16.59,0.0506,3,3.773,0.0375,3,0,0,0,0,251.45791,8.58267,HD151217,16434+0840,F16434+0840,43 HER,HR 6228,HD 151217,K5III,12.19,2.894,12.0,2.83,16 45 49.8913,+08 34 57.418,Variable star,16,45,49.8913,8,34,57.418,251.4578804,8.582616111
0.035638,281.51867,26.66212,1846044+263943,,,0,1.971,0.0367,3,,0,,0,281.51867,26.66212,HD173780,18440+2636,F18440+2636,IRC+30342,HR 7064,HD 173780,K2III,6.5,1.53,6.35,1.56,18 46 04.4803,+26 39 43.667,Star,18,46,4.4803,26,39,43.667,281.5186679,26.66212972
0.849342,276.49696,65.56342,1825592+653348,9.687,0.0122,3,2.206,0.0119,3,0,0,0,0,276.49696,65.56342,HD170693,18258+6531,F18258+6531,42 DRA,HR 6945,HD 170693,K1.5III,7.19,1.695,7.47,1.46,18 25 59.1381,+65 33 48.530,Star,18,25,59.1381,65,33,48.53,276.4964088,65.56348056
0.370746,259.3945,28.91326,1717346+285447,7.524,0.0303,3,1.916,0.0148,3,0,0,0,0,259.3945,28.91326,HD156652,17156+2857,F17156+2857,,,HD 156652,M0III+,5.57,1.429,5.63,1.44,17 17 34.6520,+28 54 47.783,Variable star of irregular type,17,17,34.652,28,54,47.783,259.3943833,28.91327306
0.292280,274.53227,23.29685,1818077+231748,9.808,0.0374,3,2.333,0.0202,3,0,0,0,0,274.53227,23.29685,HD168323,18160+2316,F18160+2316,,HR 6854,HD 168323,K5III,7.314,1.842,7.19,1.86,18 18 07.7296,+23 17 48.864,Star in double system,18,18,7.7296,23,17,48.864,274.5322067,23.29690667
0.617748,277.79027,25.1631,1831096+250947,6.493,0.0891,3,1.608,0.0321,3,0,0,0,0,277.79027,25.1631,HD170951,18291+2507,F18291+2507,,,HD 170951,M0III,4.752,1.227,4.84,1.27,18 31 09.6605,+25 09 47.775,Star,18,31,9.6605,25,9,47.775,277.7902521,25.16327083
1.217854,265.86802,4.56762,1743283+043403,50.87,0.139,3,10.89,0.0772,3,0,0,0,0,265.86802,4.56762,HD161096,17409+0435,F17410+0435,BET OPH,HR 6603,HD 161096,K2III,37.97,8.756,38.6,8.53,17 43 28.3531,+04 34 02.290,Variable star,17,43,28.3531,4,34,2.29,265.8681379,4.567302778
0.519309,297.65723,52.98786,1950377+525916,7.853,0.0184,3,1.809,0.0288,3,0,0,0,0,297.65723,52.98786,HD188056,19493+5251,F19493+5251,20 CYG,HR 7576,HD 188056,K3III,5.845,1.453,5.77,1.49,19 50 37.7238,+52 59 16.805,Star,19,50,37.7238,52,59,16.805,297.6571825,52.98800139
0.296755,269.98425,45.50145,1759562+453005,11.64,0.0378,3,2.671,0.0138,3,0,0,0,0,269.98425,45.50145,HD164646,17585+4530,F17585+4530,,HR 6728,HD 164646,M0IIIab,8.356,2.16,8.45,2.2,17 59 56.2064,+45 30 04.960,Variable star,17,59,56.2064,45,30,4.96,269.9841933,45.50137778
0.383983,262.68474,26.11062,1730443+260638,21.03,0.0762,3,4.666,0.0335,3,0,0,0,0,262.68474,26.11062,HD158899,17287+2608,F17287+2608,LAM HER,HR 6526,HD 158899,K3.5III,15.49,3.695,15.9,3.7,17 30 44.3099,+26 06 38.323,Variable star,17,30,44.3099,26,6,38.323,262.6846246,26.11064528
0.211039,325.54219,1.28524,2142101+011706,7.151,0.0519,3,1.685,0.0176,3,0,0,0,0,325.54219,1.28524,HD206445,21396+0103,F21396+0103,26 AQR,HR 8287,HD 206445,K2III,5.369,1.309,5.35,1.31,21 42 10.1119,+01 17 06.912,Star,21,42,10.1119,1,17,6.912,325.5421329,1.285253333
1.766989,311.3379,57.57924,2045210+573445,2.854,0.00977,3,0.6189,0.0162,3,0,0,0,0,311.3379,57.57924,HD198048,20460-4624,F20460-4624,ZET IND,HR 7952,HD 198048,K5III,14.14,3.317,14.3,3.47,20 45 21.1281,+57 34 47.012,High proper-motion star,20,45,21.1281,57,34,47.012,311.3380338,57.57972556
1.269154,340.12904,44.27618,2240309+441634,15.88,0.0424,3,3.507,0.0445,3,0,0,0,0,340.12904,44.27618,HD214868,22383+4400,F22383+4400,11 LAC,HR 8632,HD 214868,K2.5III,11.36,2.868,11.3,2.96,22 40 30.8591,+44 16 34.698,Star,22,40,30.8591,44,16,34.698,340.1285796,44.276305
1.929981,293.52277,7.37867,1934054+072243,11.67,0.0606,3,2.555,0.0551,3,0,0,0,0,293.52277,7.37867,HD184406,19316+0716,Z19316+0716,MUU AQL,HR 7429,HD 184406,K3-IIIb,8.653,2.084,8.6,2.05,19 34 05.3529,+07 22 44.189,Variable star,19,34,5.3529,7,22,44.189,293.5223038,7.378941389
0.410440,311.41574,30.71964,2045397+304310,11.47,0.205,3,2.432,0.0266,3,0,0,0,0,311.41574,30.71964,HD197912,20435+3032,Z20436+3032,52 CYG,HR 7942,HD 197912,K0IIIa,8.548,2.051,8.76,2.08,20 45 39.7537,+30 43 10.975,Star in double system,20,45,39.7537,30,43,10.975,311.4156404,30.71971528
3.123788,311.55365,33.97081,2046128+335814,56.19,0.394,3,11.96,0.106,3,0,0,0,0,311.55365,33.97081,HD197989,20442+3347,Z20442+3347,EPS CYG,HR 7949,HD 197989,K0III,43.2,9.548,42.6,9.57,20 46 12.6827,+33 58 12.922,High proper-motion star,20,46,12.6827,33,58,12.922,311.5528446,33.97025611
1.122008,299.68946,19.49241,1958454+192932,77.32,2.12,3,17.34,0.238,3,0,0,0,0,299.68946,19.49241,HD189319,19565+1921,Z19565+1921,GAM SGE,HR 7635,HD 189319,M0-III,60.29,14.11,58.9,14.0,19 58 45.4275,+19 29 31.732,Variable star,19,58,45.4275,19,29,31.732,299.6892813,19.49214778
0.880703,320.52191,19.80459,2122052+194816,13.92,0.0727,3,3.051,0.037,3,0,0,0,0,320.52191,19.80459,HD203504,21197+1935,F21197+1935,1 PEG,HR 8173,HD 203504,K1III,10.17,2.284,9.82,2.28,21 22 05.1996,+19 48 16.229,Star in double system,21,22,5.1996,19,48,16.229,320.521665,19.80450806
0.452376,311.79495,34.3741,2047107+342226,10.13,0.148,3,2.309,0.0676,3,0,0,0,0,311.79495,34.3741,HD198134,20451+3411,Z20451+3411,T CYG,HR 7956,HD 198134,K3III,6.867,1.831,7.32,1.9,20 47 10.7521,+34 22 26.844,Variable star,20,47,10.7521,34,22,26.844,311.7948004,34.37412333
0.336924,293.7338,33.79558,1934561+334744,15.5,0.0599,3,3.613,0.0333,3,0,0,0,0,293.7338,33.79558,HD184827,19330+3341,Z19330+3341,,,HD 184827,M0III,12.01,2.946,11.6,3.01,19 34 56.1074,+33 47 43.756,Pulsating variable star,19,34,56.1074,33,47,43.756,293.7337808,33.79548778
0.459226,305.08919,17.7928,2020214+174734,7.838,0.0231,3,1.84,0.0392,3,0,0,0,0,305.08919,17.7928,HD193579,20180+1738,F20180+1738,,HR 7780,HD 193579,K5III,5.85,1.44,6.09,1.39,20 20 21.4066,+17 47 34.539,Star,20,20,21.4066,17,47,34.539,305.0891942,17.7929275
2.072895,275.92495,21.76932,1823419+214609,21.58,0.058,3,4.671,0.0456,3,0,0,0,0,275.92495,21.76932,HD169414,18215+2144,F18215+2144,109 HER,HR 6895,HD 169414,K2IIIab,15.1,3.803,16.9,3.76,18 23 41.8896,+21 46 11.107,Variable star,18,23,41.8896,21,46,11.107,275.92454,21.76975194
1.015414,341.87292,83.15401,2247295+830914,11.3,0.0509,3,2.529,0.0369,3,0,0,0,0,341.87292,83.15401,HD216446,22477+8253,F22477+8253,SAO 3794,HR 8702,HD 216446,K3III,8.28,2.016,8.24,2.03,22 47 29.0631,+83 09 13.789,Double or multiple star,22,47,29.0631,83,9,13.789,341.8710963,83.15383028
0.818046,283.59998,71.29732,1854239+711750,7.682,0.0143,3,1.743,0.0141,3,0,0,0,0,283.59998,71.29732,HD176524,18550+7113,F18550+7113,UPS DRA,HR 7180,HD 176524,K0III,5.336,1.286,5.49,1.4,18 54 23.8547,+71 17 49.891,Star,18,54,23.8547,71,17,49.891,283.5993946,71.29719194
0.607219,349.96863,42.07809,2319524+420441,7.847,0.0248,3,1.82,0.0149,3,0,0,0,0,349.96863,42.07809,HD219981,23174+4148,F23174+4148,10 AND,HR 8876,HD 219981,M0III,5.712,1.467,5.51,1.4,23 19 52.4187,+42 04 40.959,Star,23,19,52.4187,42,4,40.959,349.9684113,42.07804417
0.952135,350.08599,5.38117,2320206+052252,9.334,0.0163,3,2.129,0.0556,3,0,0,0,0,350.08599,5.38117,HD220009,23177+0506,F23177+0506,7 PSC,HR 8878,HD 220009,K2III,7.355,1.578,7.24,1.68,23 20 20.5831,+05 22 52.706,Star,23,20,20.5831,5,22,52.706,350.0857629,5.381307222
1.045609,350.20675,30.41474,2320496+302453,10.82,0.0247,3,2.541,0.0612,3,0,0,0,0,350.20675,30.41474,HD220088,23183+3008,F23183+3008,63 PEG,HR 8882,HD 220088,M0III,8.074,1.977,7.87,1.86,23 20 49.5568,+30 24 53.716,Star,23,20,49.5568,30,24,53.716,350.2064867,30.41492111
0.272527,300.24573,8.55766,2000589+083327,7.925,0.0685,3,1.857,0.0328,3,0,0,0,0,300.24573,8.55766,HD189695,19585+0825,F19585+0825,,HR 7648,HD 189695,K5III,5.765,1.478,5.79,1.53,20 00 58.9777,+08 33 27.846,Star,20,0,58.9777,8,33,27.846,300.2457404,8.557735
0.760839,298.56216,8.4616,1954149+082741,7.313,0.0517,3,1.592,0.019,3,0,0,0,0,298.56216,8.4616,HD188310,19518+0819,Z19518+0819,XI AQL,HR 7595,HD 188310,G9.5IIIb,5.512,1.237,5.54,1.27,19 54 14.8816,+08 27 41.230,Star,19,54,14.8816,8,27,41.23,298.5620067,8.461452778
0.749274,292.17621,24.66476,1928422+243953,38.44,0.265,3,8.398,0.0299,3,0,0,0,0,292.17621,24.66476,HD183439,19266+2433,Z19266+2433,ALP VUL,HR 7405,HD 183439,M0.5IIIb,29.67,6.9,28.9,7.0,19 28 42.3299,+24 39 53.657,Star in double system,19,28,42.3299,24,39,53.657,292.1763746,24.66490472
0.623686,350.76918,12.31381,2323046+121849,8.903,0.0175,3,2.027,0.0342,3,0,0,0,0,350.76918,12.31381,HD220363,23205+1202,F23205+1202,66 PEG,HR 8893,HD 220363,K3III,6.931,1.55,7.14,1.56,23 23 04.5685,+12 18 50.077,Double or multiple star,23,23,4.5685,12,18,50.077,350.7690354,12.31391028
0.420288,316.1445,5.50285,2104346+053010,11.94,0.0577,3,2.864,0.124,3,0,0,0,0,316.1445,5.50285,HD200644,21020+0518,F21020+0518,3 EQU,HR 8066,HD 200644,K5III,8.778,2.296,8.68,2.27,21 04 34.6520,+05 30 10.302,Star in double system,21,4,34.652,5,30,10.302,316.1443833,5.502861667
0.501918,303.36531,60.64064,2013276+603826,7.085,0.0153,3,1.679,0.0207,3,0,0,0,0,303.36531,60.64064,HD192781,20125+6029,F20125+6029,,HR 7742,HD 192781,K5III,5.219,1.262,5.41,1.3,20 13 27.6157,+60 38 26.048,Star,20,13,27.6157,60,38,26.048,303.3650654,60.64056889
1.288165,343.00897,43.3124,2252021+431844,22.56,0.103,3,5.066,0.0335,3,0,0,0,0,343.00897,43.3124,HD216397,22497+4302,F22497+4302,15 LAC,HR 8699,HD 216397,M0III,16.31,4.054,16.0,3.97,22 52 02.0349,+43 18 44.702,Star in double system,22,52,2.0349,43,18,44.702,343.0084788,43.31241722
0.046270,274.96546,36.06456,1819517+360352,12.16,0.0298,3,2.634,0.0294,3,0,0,0,0,274.96546,36.06456,HD168775,18181+3602,F18180+3602,KAP LYR,HR 6872,HD 168775,K2-IIIab,9.029,2.13,9.06,2.13,18 19 51.7095,+36 03 52.371,Variable star,18,19,51.7095,36,3,52.371,274.9654563,36.0645475
0.258054,288.85359,30.52631,1915248+303134,16.03,0.085,3,3.664,0.0185,3,0,0,0,0,288.85359,30.52631,HD180450,19134+3026,Z19134+3026,IRC+30364,HR 7302,HD 180450,M0III,12.0,3.054,11.8,3.01,19 15 24.8598,+30 31 34.973,Star in cluster,19,15,24.8598,30,31,34.973,288.8535825,30.52638139
1.159598,313.47452,33.43757,2053538+332615,11.81,0.0325,3,2.739,0.0225,3,0,0,0,0,313.47452,33.43757,HD199101,20518+3314,Z20518+3314,,HR 8005,HD 199101,K5III,8.75,2.182,9.17,2.26,20 53 53.8921,+33 26 16.408,Star in double system,20,53,53.8921,33,26,16.408,313.4745504,33.43789111
0.338344,298.98084,58.84589,1955554+585045,18.89,0.0479,3,4.356,0.0308,3,0,0,0,0,298.98084,58.84589,HD189276,19549+5842,F19549+5842,,HR 7633,HD 189276,K4.5IIIa,13.49,3.449,13.7,3.49,19 55 55.3781,+58 50 45.489,Star,19,55,55.3781,58,50,45.489,298.9807421,58.84596917
0.090853,269.06327,37.25056,1756151+371502,24.22,0.092,3,5.292,0.0221,3,0,0,0,0,269.06327,37.25056,HD163770,17545+3715,F17545+3715,THE HER,HR 6695,HD 163770,K1IIa,17.64,4.26,18.4,4.2,17 56 15.1805,+37 15 01.941,Variable star,17,56,15.1805,37,15,1.941,269.0632521,37.25053917
0.931671,351.99186,6.37883,2327580+062243,10.7,0.063,3,2.297,0.028,3,0,0,0,0,351.99186,6.37883,HD220954,23254+0606,F23254+0606,THE PSC,HR 8916,HD 220954,K0.5III,8.098,1.92,8.14,2.07,23 27 58.0951,+06 22 44.372,Star,23,27,58.0951,6,22,44.372,351.9920629,6.378992222
0.957597,286.2413,31.74384,1904579+314437,,,0,2.631,0.0243,3,,0,,0,286.2413,31.74384,HD177808,19030+3140,F19030+3140,,HR 7237,HD 177808,M0III,7.997,2.037,7.92,2.04,19 04 57.8751,+31 44 38.658,Star,19,4,57.8751,31,44,38.658,286.2411463,31.74407167
0.340222,295.93803,41.77311,1943451+414623,10.09,0.0378,3,2.37,0.0277,3,0,0,0,0,295.93803,41.77311,HD186619,19420+4139,Z19420+4139,,HR 7514,HD 186619,M0IIIab,7.519,1.938,7.45,1.99,19 43 45.0968,+41 46 23.190,Variable star,19,43,45.0968,41,46,23.19,295.9379033,41.77310833
0.432539,317.11727,6.98924,2108281+065921,11.28,0.0692,3,2.662,0.0437,3,0,0,0,0,317.11727,6.98924,HD201298,21059+0647,F21060+0647,,HR 8090,HD 201298,K5III,8.118,2.007,8.11,2.1,21 08 28.1394,+06 59 21.689,Star,21,8,28.1394,6,59,21.689,317.1172475,6.989358056
0.496159,314.56803,22.32601,2058163+221933,9.349,0.00802,3,2.076,0.0345,3,0,0,0,0,314.56803,22.32601,HD199697,20560+2207,F20560+2207,33 VUL,HR 8032,HD 199697,K3.5III,6.835,1.744,6.84,1.74,20 58 16.3511,+22 19 33.267,Star,20,58,16.3511,22,19,33.267,314.5681296,22.3259075
0.814373,353.23557,46.12352,2332565+460724,12.1,0.0494,3,2.82,0.0177,3,0,0,0,0,353.23557,46.12352,HD221588,23305+4550,F23305+4550,,,HD 221588,M0III,8.885,2.265,8.73,2.31,23 32 56.4819,+46 07 25.253,Semi-regular pulsating star,23,32,56.4819,46,7,25.253,353.2353413,46.12368139
0.389886,337.38274,47.70693,2229318+474224,62.4,0.765,3,14.57,0.0609,3,0,0,0,0,337.38274,47.70693,HD213310,22274+4726,Z22274+4727,5 LAC,HR 8572,HD 213310,M0II+B8V,45.9,11.96,47.1,12.1,22 29 31.8222,+47 42 24.792,Double or multiple star,22,29,31.8222,47,42,24.792,337.3825925,47.70688667
0.321446,346.91367,46.38715,2307392+462313,9.069,0.0512,3,2.054,0.0251,3,0,0,0,0,346.91367,46.38715,HD218452,23053+4606,F23053+4606,4 AND,HR 8804,HD 218452,K5III,6.588,1.62,6.53,1.64,23 07 39.2676,+46 23 14.031,Star in double system,23,7,39.2676,46,23,14.031,346.913615,46.38723083
1.908308,354.83552,77.63272,2339205+773757,27.09,0.0879,3,5.721,0.041,3,0,0,0,0,354.83552,77.63272,HD222404,23372+7721,F23372+7721,GAM CEP,HR 8974,HD 222404,K1III-IV,19.67,4.561,20.7,4.59,23 39 20.8490,+77 37 56.193,Variable star,23,39,20.849,77,37,56.193,354.8368708,77.63227583
0.411530,296.56495,10.61337,1946155+103648,113.8,2.1,3,24.42,0.0381,3,0,0,0,0,296.56495,10.61337,HD186791,19438+1029,Z19438+1029,GAM AQL,HR 7525,HD 186791,K3II,79.86,19.62,76.6,20.0,19 46 15.5795,+10 36 47.740,Star in double system,19,46,15.5795,10,36,47.74,296.5649146,10.61326111
0.745975,318.92779,77.01233,2115426+770044,7.719,0.0239,3,1.809,0.0265,3,0,0,0,0,318.92779,77.01233,HD203399,21162+7648,F21162+7647,,HR 8168,HD 203399,K5III,5.539,1.404,5.66,1.41,21 15 42.4513,+77 00 44.266,Star,21,15,42.4513,77,0,44.266,318.9268804,77.01229611
