angDist,_RAJ2000,_DEJ2000,objName,S09,e_S09,q_S09,S18,e_S18,q_S18,Nd09,Nd18,X09,X18,RAJ2000,DEJ2000,Cohen,IRAS PSC,IRAS FSC,Name,HR #,HD #,SpectralTypes,12[Jy],25[Jy],12[Jy],25[Jy],R.A.,Decl.,CommentOnSIMBAD,R.A.(h),R.A.(m),R.A.(s),Decl.(deg),Decl.(m),Decl.(s),ra,dec
0.545450,15.7358,7.89,0102565+075324,9.748,0.049,3,2.144,0.0224,3,0,0,0,0,15.7358,7.89,HD6186,01003+0737,F01003+0737,EPS PSC,HR 294,HD 6186,K0III,7.131,1.833,7.14,1.84,01 02 56.6084,+07 53 24.488,Star,1,2,56.6084,7,53,24.488,15.73586833,7.890135556
0.307027,15.79131,53.14044,0103099+530825,12.15,0.0573,3,2.858,0.0572,3,0,0,0,0,15.79131,53.14044,HD6112,01002+5252,Z01001+5252,,,HD 6112,M0III,8.849,2.415,8.98,2.41,01 03 09.8811,+53 08 25.517,Variable Star,1,3,9.8811,53,8,25.517,15.79117125,53.14042139
0.076802,101.96521,2.41218,0647516+022443,9.504,0.0228,3,2.061,0.0281,3,0,0,0,0,101.96521,2.41218,HD49293,06452+0228,Z06452+0228,18 MON,HR 2506,HD 49293,K0+IIIa,7.054,1.625,7.25,1.7,06 47 51.6493,+02 24 43.773,Star,6,47,51.6493,2,24,43.773,101.9652054,2.412159167
0.365867,114.86916,17.67442,0739285+174027,22.31,0.261,3,5.124,0.0506,3,0,0,0,0,114.86916,17.67442,HD61338,07366+1747,F07365+1747,74 GEM,HR 2938,HD 61338,K5III,16.37,3.95,16.2,4.05,07 39 28.5925,+17 40 28.268,Variable star,7,39,28.5925,17,40,28.268,114.8691354,17.67451889
1.464208,138.95696,56.74109,0915496+564427,15.2,0.114,3,3.436,0.0179,3,0,0,0,0,138.95696,56.74109,HD79354,09121+5657,F09121+5656,17 UMA,HR 3660,HD 79354,K5III,11.81,2.787,11.5,2.77,09 15 49.7821,+56 44 29.064,Variable star,9,15,49.7821,56,44,29.064,138.9574254,56.74140667
0.415335,145.39643,31.27788,0941351+311640,10.83,0.0706,3,2.456,0.0363,3,0,0,0,0,145.39643,31.27788,HD83787,09386+3130,F09386+3130,,HR 3850,HD 83787,K6III,8.166,2.318,7.93,2.2,09 41 35.1160,+31 16.40.142 2000.0,variable star,9,41,35.116,31,16,40.1422,145.3963167,31.27781728
0.591052,120.56626,2.33465,0802159+022004,16.71,0.00198,3,3.636,0.0288,3,0,0,0,0,120.56626,2.33465,HD66141,07596+0228,F07596+0228,,HR 3145,HD 66141,K2IIIb,12.12,2.854,12.2,2.91,08 02 15.9369,+02 20 04.454,Star in double system,8,2,15.9369,2,20,4.454,120.5664038,2.334570556
0.232357,115.06114,38.34452,0740146+382040,12.33,0.108,3,2.837,0.0435,3,0,0,0,0,115.06114,38.34452,HD61294,07368+3827,F07368+3827,,HR 2935,HD 61294,M0III,9.12,2.276,9.11,2.36,07 40 14.6925,+38 20 40.339,Variable star,7,40,14.6925,38,20,40.339,115.0612188,38.34453861
0.302711,4.19024,10.24479,0016456+101441,19.2,0.0501,3,4.424,0.0542,3,0,0,0,0,4.19024,10.24479,HD1255,00141+0957,F00141+0958,,,HD 1255,M0III,13.87,3.552,13.7,3.53,00 16 45.6779,+10 14 41.201,Variable star,0,16,45.6779,10,14,41.201,4.190324583,10.24477806
0.568229,4.22495,49.46178,0016539+492742,13.03,0.0621,3,3.077,0.0429,3,0,0,0,0,4.22495,49.46178,HD1240,00142+4911,F00142+4911,,,HD 1240,M0III,9.54,2.481,9.88,2.48,00 16 53.9578,+49 27 42.894,Variable star,0,16,53.9578,49,27,42.894,4.224824167,49.461915
1.763707,41.97768,29.2468,0247546+291448,9.413,0.0198,3,2.043,0.0327,3,0,0,0,0,41.97768,29.2468,HD17361,02449+2902,F02449+2902,39 ARI,HR 824,HD 17361,K1.5III,6.57,1.596,6.64,1.62,02 47 54.5407,+29 14 49.625,Star,2,47,54.5407,29,14,49.625,41.97725292,29.24711806
0.456238,52.6437,47.99509,0330344+475942,21.4,0.0568,3,4.712,0.051,3,0,0,0,0,52.6437,47.99509,HD21552,03270+4749,Z03270+4749,SIG PER,HR 1052,HD 21552,K3III,16.02,3.8,16.1,3.73,03 30 34.4835,+47 59 42.778,Variable star,3,30,34.4835,47,59,42.778,52.64368125,47.99521611
